Index Refs Address            Size       Wired      Name (Version) UUID <Linked Against>
  102    0 0xffffff7f83c53000 0x4000     0x4000     org.rehabman.voodoo.driver.PS2Mouse (1.9.2) 543C2723-E8F2-32CC-947E-F8A3B33E0E14 <68 67 6 5 3>
  103    0 0xffffff7f83f44000 0x6000     0x6000     org.rehabman.voodoo.driver.PS2Keyboard (1.9.2) 0AD6AD57-1F08-39DF-A616-39715E69C536 <68 67 17 8 7 6 5 3 1>
  104    0 0xffffff7f83f4a000 0x5000     0x5000     as.acidanthera.BrcmPatchRAM3 (2.5.0) A6812F3E-DF9B-36F3-966B-FE592C6EBFDA <55 27 6 5 3 1>
  105    1 0xffffff7f82cee000 0xf000     0xf000     com.apple.iokit.IOBluetoothPacketLogger (7.0.2f4) 73415CCB-18EB-3C77-96C0-5FA6D7F1C9AC <7 6 5 3 1>
  106    3 0xffffff7f82cfd000 0xfd000    0xfd000    com.apple.iokit.IOBluetoothFamily (7.0.2f4) BA88C6B3-B907-3B85-95A2-9E72DCA2384E <105 27 17 12 8 7 6 5 3 1>
  107    2 0xffffff7f8328e000 0xb000     0xb000     com.apple.iokit.IOBluetoothHostControllerTransport (7.0.2f4) D2070464-95EB-3EE4-A1CA-89868BC6387A <106 27 13 12 8 7 6 5 3 1>
  108    1 0xffffff7f83358000 0x22000    0x22000    com.apple.iokit.IOBluetoothHostControllerUSBTransport (7.0.2f4) F0A1B337-7FF0-32E6-92CC-3E94B801B62E <107 106 27 13 12 8 7 6 5 3 1>
  109    0 0xffffff7f8337a000 0xd000     0xd000     com.apple.iokit.BroadcomBluetoothHostControllerUSBTransport (7.0.2f4) 51D2D565-A10B-3B57-B0BA-0AB614A93A86 <108 107 106 27 13 12 8 7 6 5 3>
  110    2 0xffffff7f81226000 0x8000     0x8000     com.apple.driver.usb.AppleUSBHostCompositeDevice (1.2) 93A7F85F-FD3E-32DF-AAD1-1CD4D2466E8A <27 25 7 6 5 3 1>
  111    1 0xffffff7f81454000 0x8000     0x8000     com.apple.driver.usb.networking (5.0.0) B8E5D651-9655-360F-8C18-2EF0AD601B51 <27 7 6 5 3 1>
